Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Project Governance,DBMIG-1,28691,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:07 PM,05/Oct/21 8:26 AM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager, I want to track key list of activities related to project set, management and execution so that the Engagement objectives and outcomes are met.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,DBMIG-46,{},ghx-label-12,,Project Governance,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qt3:,,,,,,,,,,,,,To Do
Environment Access,DBMIG-2,28692,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:09 PM,24/Aug/21 5:17 PM,06/Oct/21 5:14 AM,,,0,"As a Delivery Team, I want to track user stories related to user, environment, DB and software access in this epic",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-11,,Environment Access,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qtb:,,,,,,,,,,,,,To Do
Database Discovery and Assessment,DBMIG-3,28693,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:10 PM,25/Aug/21 7:58 AM,29/Sep/21 1:56 PM,,,0,This epic captures DB discovery and assessment related user stories and tasks,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-5,,Database Discovery and Assessment,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qtj:,,,,,,,,,,,,,To Do
Architecture Design and Decisions,DBMIG-4,28694,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:11 PM,29/Sep/21 1:56 PM,29/Sep/21 1:55 PM,,,0,This EPIC comprises of any common solution creation for key DB features used across 1 or more DBs which are in scope of the migration,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-8,,Architecture Design and Decisions,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qtr:,,,,,,,,,,,,,To Do
Estimations,DBMIG-5,28695,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:12 PM,29/Sep/21 1:58 PM,29/Sep/21 1:58 PM,,,0,This epic captures DB estimations/revised estimations post the discovery and assessment,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-14,,Estimations,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qtz:,,,,,,,,,,,,,To Do
Datatype Alignment,DBMIG-6,28696,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:13 PM,29/Sep/21 2:06 PM,29/Sep/21 2:14 PM,,,0,This epic captures DB data type mapping recommendations and decisions used for the database migration.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-6,,Datatype Alignment,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qu7:,,,,,,,,,,,,,To Do
DB Schema Creation and Conversion,DBMIG-7,28697,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:13 PM,29/Sep/21 2:17 PM,29/Sep/21 2:15 PM,,,0,This EPIC comprises of stories/tasks related to schema conversion.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-5,,DB Schema Creation and Conversion,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00quf:,,,,,,,,,,,,,To Do
Code Conversion,DBMIG-8,28698,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:14 PM,29/Sep/21 2:32 PM,29/Sep/21 2:55 PM,,,0,This epic comprises of stories/tasks related to dat storage and code objects manual conversions.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-3,,Code Conversion,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qun:,,,,,,,,,,,,,To Do
Application SQL Conversion,DBMIG-9,28699,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:15 PM,29/Sep/21 2:50 PM,29/Sep/21 2:54 PM,,,0,This epic comprises of user stories/tasks related to Application SQL Queries conversion,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-12,,Application SQL Conversion,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00quv:,,,,,,,,,,,,,To Do
Sanity Test - Code Objects,DBMIG-10,28700,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:16 PM,29/Sep/21 2:56 PM,29/Sep/21 2:59 PM,,,0,This EPIC comprises of stories/tasks related to sanity test for the converted code objects.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-5,,Sanity Test - Code Objects,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qv3:,,,,,,,,,,,,,To Do
